# Naam GPKG, laagnaam GPKG, stijlnaam SLD
brta.gpkg,registratiefgebiedVlak_0_14,registratiefgebiedVlak_style
brta.gpkg,terreinVlak_0_2,terreinVlak_0_2_style
brta.gpkg,terreinvlak_3,terreinVlak_3_style
brta.gpkg,terreinVlak_4,terreinVlak_4_style
brta.gpkg,terreinVlak_5,terreinVlak_5_style
brta.gpkg,terreinVlak_6_8,terreinVlak_6_8_style
brta.gpkg,terreinVlak_9,terreinVlak_9_style
brta.gpkg,terreinVlak_10_14,terreinVlak_10_14_style
brta.gpkg,waterdeelVlak_0_1,waterdeelVlak_0_1_style
brta.gpkg,waterdeelVlak_2_3,waterdeelVlak_2_3_style
brta.gpkg,waterdeelVlak_4_7,waterdeelVlak_4_7_style
brta.gpkg,waterdeelVlak_8,waterdeelVlak_8_style
brta.gpkg,waterdeelVlak_9_14,waterdeelVlak_9_14_style
brta.gpkg,waterdeelLijn_8,waterdeelLijn_7_8_style
brta.gpkg,waterdeelLijn_9_14,waterdeelLijn_9_14_style
brta.gpkg,registratiefgebiedLijn_0_14,registratiefgebiedLijn_0_14_style
brta.gpkg,wegdeelLijn_2_5,wegdeelLijn_2_5_style
brta.gpkg,wegdeelLijn_6,wegdeelLijn_6_style
brta.gpkg,wegdeelLijn_7,wegdeelLijn_7_style
brta.gpkg,wegdeelLijn_8_9,wegdeelLijn_8_9_style
brta.gpkg,wegdeelVlak_7_9,wegdeelVlak_9_style
brta.gpkg,wegdeelVlak_10_14,wegdeelVlak_10_14_style
brta.gpkg,gebouwVlak_6_7,gebouwVlak_6_7_style
brta.gpkg,gebouwVlak_8,gebouwVlak_8_style
brta.gpkg,gebouwVlak_9_14,gebouwVlak_9_14_style
brta.gpkg,spoorbaandeelLijn_6_8,spoorbaandeelLijn_6_8_style
brta.gpkg,spoorbaandeelLijn_9_14,spoorbaandeelLijn_9_14_style
brta.gpkg,inrichtingselementLijn_8,inrichtingselementLijn_8_style
brta.gpkg,inrichtingselementLijn_9_14,inrichtingselementLijn_9_14_style
brta.gpkg,Straatnamen_overig,Straatnamen_overig_12_14_style,line
brta.gpkg,Straatnamen_straat,Straatnamen_straat_11_14_style,line
brta.gpkg,Straatnamen_lokale_wegen,Straatnamen_lokale_wegen_10_14_style,line
brta.gpkg,Straatnamen_regionale_wegen,Straatnamen_regionale_wegen_8_14_style,line
brta.gpkg,Straatnamen_hoofdwegen,Straatnamen_hoofdwegen_8_14_style,line
brta.gpkg,Annotaties,Wegnummertekst_0_14_style
##brta.gpkg,Plaatsnamen_0,Plaatsnamen_0  # Deze laag ontbreekt!
brta.gpkg,Plaatsnamen_1,Plaatsnamen_1_style
brta.gpkg,Plaatsnamen_2,Plaatsnamen_2_style
brta.gpkg,Plaatsnamen_3,Plaatsnamen_3_style
brta.gpkg,Plaatsnamen_4,Plaatsnamen_4_style
brta.gpkg,Plaatsnamen_5,Plaatsnamen_5_style
brta.gpkg,Plaatsnamen_6,Plaatsnamen_6_style
brta.gpkg,Plaatsnamen_7,Plaatsnamen_7_style
brta.gpkg,Plaatsnamen_8,Plaatsnamen_8_10_style
